bases_id, title, public_url, og_title,og_type,og_url,og_image,og_site_name,og_description
411,ドリフェス！,http://www.dream-fes.com/anime/,「ドリフェス！アニメ」の最新情報を公開！ - アニメ | 「ドリフェス！」 2.5次元アイドル応援プロジェクト公式サイト,article,http://www.dream-fes.com/anime/,http://www.dream-fes.com/images/ogp/bnr_release.jpg,「ドリフェス！」 2.5次元アイドル応援プロジェクト公式サイト,「ドリフェス！」 2.5次元アイドル応援プロジェクト公式サイト。応援でかなえるミラクルステージ！
413,怪獣娘(かいじゅうがーるず)～ウルトラ怪獣擬人化計画～,http://kaiju-gk.jp/anime/,アニメ | ウルトラ怪獣擬人化計画,article,http://kaiju-gk.jp/anime/,,ウルトラ怪獣擬人化計画,
414,デジモンユニバース アプリモンスターズ：アプモン,http://www.toei-anim.co.jp/tv/appmon/,デジモンユニバース アプリモンスターズ,website,http://www.toei-anim.co.jp/tv/appmon/,http://www.toei-anim.co.jp/tv/appmon/images/common/ogp.png,,デジモンユニバース アプリモンスターズ(アプモン)、デジモンの系譜を継ぐ、まったく新しい物語が起動する-バンダイ×バンダイナムコエンターテインメント×東映アニメーションの3社連動ホビー・ゲーム・テレビアニメの超大型プロジェクト!!2016年秋、起動！
415,タイムボカン24(トゥエンティーフォー),http://www.ytv.co.jp/timebokan24/,タイムボカン24｜読売テレビ,website,http://www.ytv.co.jp/timebokan24/,http://www.ytv.co.jp/timebokan24/sns.jpg,タイムボカン24,読売テレビ・日本テレビ系にて放送スタート！アニメ「タイムボカン24」公式サイトです
416,Bloodivores(ブラッディヴォーレス),http://bloodivores.com/,,,,,,
417,ブブキ・ブランキ 星の巨人,http://bbkbrnk.com/,ブブキ・ブランキ 星の巨人 | BUBUKI/BURANKI,website,http://bbkbrnk.com,http://bbkbrnk.com/img/card.png?436298437910,ブブキ・ブランキ 星の巨人 | BUBUKI/BURANKI,2016年10月から放送予定 | @bbkbrnk #ブブキ
418,終末のイゼッタ,http://izetta.jp/,オリジナルアニメ「終末のイゼッタ」公式サイト,,http://izetta.jp/,http://izetta.jp/img/sns.jpg,,終末のイゼッタ　西暦1940年−　少女は、戦場を翔ける
419,WWW.WORKING!!,http://working-www.com/,「WWW.WORKING!!」公式サイト,website,http://working-www.com/,http://working-www.com/share.png,,ご新規さんも常連さんも、ワグナリアにいらっしゃいませ♪
420,魔法少女育成計画,http://mahoiku.jp/,TVアニメ「魔法少女育成計画」公式サイト,website,http://mahoiku.jp/,http://mahoiku.jp/og_img/og_img.jpg,,TVアニメ「魔法少女育成計画」公式サイト。2016年TVアニメーション放送決定！
421,Vivid Strike!,http://vivid-strike.com/,TVアニメ「Vivid Strike !」オフィシャルサイト,website,http://vivid-strike.com/,http://vivid-strike.com/ogp.png,TVアニメ「Vivid Strike !」オフィシャルサイト,「魔法少女リリカルなのは」シリーズの原作/脚本・都築真紀が新たに手がけるTVアニメ『ViVid Strike！』が2016年10月より放送開始！！アニメーション制作はセブン・アークス・ピクチャーズが手がける。キャストはフーカ・レヴェントン役を水瀬いのり、リンネ・ベルリネッタ役を小倉唯が担当し、それぞれアーティストとしてテーマソングも担当。
422,うたの☆プリンスさまっ♪マジLOVEレジェンドスター,http://utapri.tv/,,,,,,
423,タイガーマスクW,http://www.toei-anim.co.jp/tv/tigermask_w/,タイガーマスクW,website,http://www.toei-anim.co.jp/tv/tigermask_w/,http://www.toei-anim.co.jp/tv/tigermask_w/og2.png,,「光のタイガー」「闇のタイガー」２人を待ち受ける戦いと友情の行方は!?初代タイガーマスク伊達直人が残したタイガーマスクの遺産は 新たなレスラーへと受け継がれる…
424,こねこのチー ポンポンらー大冒険,http://chissweethome.com/,,,,,,
425,モンスターハンターストーリーズ　RIDE ON,http://www.mh-stories-rideon.jp/,モンスターハンターストーリーズ　RIDE ON - フジテレビ,article,http://www.mh-stories-rideon.jp/,http://www.mh-stories-rideon.jp/img/fb.png,,オフィシャルサイト。大人気ゲーム『モンスターハンター』シリーズ初のアニメ化！2016年10月よりフジテレビにて 毎週日曜あさ8:30～放送
426,カードファイト!!ヴァンガードG NEXT,http://cf-vanguard.com/information/tgs2016_vg_stage/,,,,,,
427,機動戦士ガンダム 鉄血のオルフェンズ(第2期),http://www.g-tekketsu.com/,機動戦士ガンダム 鉄血のオルフェンズ,website,http://g-tekketsu.com/,http://g-tekketsu.com/logo2nd.jpg,機動戦士ガンダム 鉄血のオルフェンズ,『機動戦士ガンダム 鉄血のオルフェンズ』2016年10月2日より毎週日曜午後5時～MBS/TBS系列全国28局ネットにて放送開始
428,SHOW BY ROCK!!＃,http://showbyrock-anime.com/,,,,,,
429,おくさまが生徒会長!+!,http://www.dreamcreation.co.jp/okusama/,,,,,,
430,マジきゅんっ！ルネッサンス,http://www.magic-kyun.jp/,,,,,,
431,刀剣乱舞-花丸-,http://touken-hanamaru.jp/,アニメ『刀剣乱舞-花丸-』 公式サイト,website,http://touken-hanamaru.jp/,http://touken-hanamaru.jp/images/ogp.jpg,アニメ『刀剣乱舞-花丸-』 公式サイト,「刀剣乱舞-花丸-」2016年10月よりテレビアニメ放送開始！！
432,アイドルメモリーズ,http://idol-memories.com/,TVアニメ「アイドルメモリーズ」公式サイト,website,http://idol-memories.com,http://idol-memories.com/images/ogimage.png,TVアニメ「アイドルメモリーズ」公式サイト,私の夢は、ここ（現実）でも輝く！360°全包囲アイドルアニメ「アイドルメモリーズ」2016年10月 TOKYO MXにて放送開始！
433,あおおに ～じ・あにめぇしょん～,http://aooni-anime.com/tv/,アニメ「あおおに ～じ・あにめぇしょん～」公式サイト,website,http://aooni-anime.com/,http://aooni-anime.com/images/og.png,アニメ「あおおに ～じ・あにめぇしょん～」公式サイト,アニメ「あおおに ～じ・あにめぇしょん～」公式サイト 2016年10月テレビ東京・BSジャパンにて放送開始！
434,12歳。～ちっちゃなムネのトキメキ～ セカンドシーズン,http://www.shogakukan.co.jp/pr/12sai/,,,,,,
435,ステラのまほう,http://magicofstella.com/,,,,,,
436,学園ハンサム,http://penet.co.jp/animehandsome/,TVアニメ「学園ハンサム」2016年10月より地上波放送！,website,http://penet.co.jp/animehandsome/,http://penet.co.jp/animehandsome/assets/img/sns2.png,,校門を抜けると、ハンサムだった― 学園恋愛アドベンチャー「学園ハンサム」がTVアニメ化。地上波放送決定！
437,TRICKSTER -江戸川乱歩「少年探偵団」より-,http://trickster-project.com/anime/,TRICKSTER -江戸川乱歩「少年探偵団」より-│TVアニメ公式サイト,website,http://trickster-project.com/anime/,http://trickster-project.com/anime/assets/img/ogp.png,TRICKSTER -江戸川乱歩「少年探偵団」より-│TVアニメ公式サイト,死ねる事件、求ム。キャラクターデザインPEACH-PITで贈る、オリジナルアニメーションが2016年10月放送スタート！二人の少年が出会う時、近未来を舞台に、新たな探偵物語が幕を開ける！
438,侍霊演武 SOUL BUSTER,http://soulbuster.jp/,TVアニメ「ソウルバスター」公式サイト,website,http://soulbuster.jp/,http://soulbuster.jp/top/images/body_bg.gif,,
439,信長の忍び,http://nobunaga-no-shinobi.com/,TVアニメ「信長の忍び」,website,http://nobunaga-no-shinobi.com,http://nobunaga-no-shinobi.com/img/fb.jpg,TVアニメ「信長の忍び」,「信長の忍び」2016年 TVアニメ化決定!!
440,装神少女まとい,http://www.matoi-anime.com/,「装神少女まとい」公式サイト,web site,http://matoi-anime.com/,http://matoi-anime.com/img/ogp.png,,
441,夏目友人帳 伍,http://www.natsume-anime.jp/,アニメ　夏目友人帳,website,http://www.natsume-anime.jp,http://www.natsume-anime.jp/ogp.png,アニメ　夏目友人帳,「夏目友人帳 伍」2016年秋放送スタート！
442,美少女遊戯ユニット クレーンゲール Galaxy,http://cranegale.com/,クレーンゲール ギャラクシー｜美少女遊戯ユニット,website,http://cranegale.com/,http://cranegale.com/cms/wp-content/themes/cooljapan/common/img/no-image.jpg,クレーンゲール ギャラクシー｜美少女遊戯ユニット,...
443,ナンバカ,https://nanbaka.tv/,TVアニメ「ナンバカ」公式サイト,website,http://nanbaka.tv/,http://nanbaka.tv/src/default/pc/image/common/ogp.png,TVアニメ「ナンバカ」公式サイト,最大最強の刑務所で繰り広げる囚人と看守の超ハイテンションすぎるアクションコメディが2016年秋にTVアニメ化！
444,ナゾトキネ,http://nazotokine.com/,謎解きTVアニメ『ナゾトキネ』公式サイト,tv_show,http://nazotokine.com,http://nazotokine.com/img/ogp_thumnail.png,,ＴＶアニメ『ナゾトキネ』の公式サイト。2016年10月、ＴＯＫＹＯ ＭＸにて放送予定！
445,てーきゅう 8期,http://te-kyu.com/,TVアニメ『てーきゅう』公式サイト,website,http://te-kyu.com/,http://te-kyu.com/img/common/share/og_share.jpg,TVアニメ『てーきゅう』公式サイト,早口過ぎてついてこれない!? カオスな超高速ギャグアニメ｢てーきゅう｣ ついに8期大決定！
446,奇異太郎少年の妖怪絵日記,http://kiitarou.jp/,TVアニメ「奇異太郎少年の妖怪絵日記」公式サイト,,http://kiitarou.jp/,http://kiitarou.jp/_wp/wp-content/uploads/2016/08/top_img.png,TVアニメ「奇異太郎少年の妖怪絵日記」公式サイト,2016年10月より、TOKYO MX、サンテレビにて放送開始予定。
447,魔法少女なんてもういいですから。 セカンドシーズン,http://mouiidesukara.com/,TVアニメ『魔法少女なんてもういいですから。』公式サイト,website,http://mouiidesukara.com/,http://mouiidesukara.com/img/facebook.jpg,TVアニメ『魔法少女なんてもういいですから。』公式サイト,はいはい、いま変身しますから…。　双見酔が描く新感覚魔法少女コミック、2016年1月アニメ化決定！！
448,あにトレ！XX～ひとつ屋根の下で～,http://anime-training.com/,燃焼系TVアニメ「あにトレ！XX」公式サイト,website,http://anime-training.com/,http://anime-training.com/wordpress/wp-content/themes/anitore/assets/images/twIcon.png,燃焼系TVアニメ「あにトレ！XX」公式サイト,主観目線で一緒にエクササイズ！ 燃焼系TVアニメ
449,響け！ユーフォニアム2,http://anime-eupho.com/,TVアニメ『響け！ユーフォニアム2』公式サイト,website,http://anime-eupho.com/,http://anime-eupho.com/img/social.jpg,TVアニメ『響け！ユーフォニアム2』公式サイト,TVアニメ『響け！ユーフォニアム2』2016年10月放送開始！
450,文豪ストレイドッグス 第2クール,http://bungo-stray-dogs.jp/,アニメ『文豪ストレイドッグス』公式サイト,tv_show,http://bungo-stray-dogs.jp,http://bungo-stray-dogs.jp/images/ogp.png,アニメ『文豪ストレイドッグス』公式サイト,文豪ストレイドッグス 「桜蘭高校ホスト部」「STAR DRIVER 輝きのタクト」の五十嵐卓哉×榎戸洋司が贈る待望のアニメ化！ 原作：朝霧カフカ、漫画：春河35、監督：五十嵐卓哉、脚本：榎戸洋司、アニメーション制作：ボンズ
451,ブレイブウィッチーズ,http://w-witch.jp/,ストライクウィッチーズ Operation Victory Arrow,tv_show,http://w-witch.jp,http://w-witch.jp/ogp-img.jpg,アニメ「ブレイブウィッチーズ」公式サイト,ストライクウィッチーズ Operation Victory Arrow
452,ユーリ!!! on ICE,http://yurionice.com/, TVアニメ「ユーリ!!! on ICE」公式サイト,website,http://yurionice.com/,http://yurionice.com/images/ogp_new.jpg,,久保ミツロウ×山本沙代×MAPPAによる、本格フィギュアスケートアニメ「ユーリ!!! on ICE」公式サイト。テレビ朝日ほかにて2016年10月放送スタート。前代未聞のフィギュアスケートグランプリシリーズが今、幕を開ける…
453,フリップフラッパーズ,http://www.flipflappers.com/,TVアニメ「フリップフラッパーズ」公式サイト,website,http://flipflappers.com/,http://flipflappers.com/img/ogp3.jpg/,,
454,競女!!!!!!!!,http://keijollllllll.com/,,,,,,
455,ALL OUT!!,http://allout-anime.com/,TVアニメ「ALL OUT!!オールアウト」公式サイト,,http://allout-anime.com/,http://allout-anime.com/img/ogp.jpg,,ここでは誰だって主役になれる―　2016年10月より、TOKYO MX、MBS、BS11ほかにて放送開始!! 「ALL OUT!!オールアウト」︎
456,バーナード嬢曰く。,http://www.dreamcreation.co.jp/bernard/,,,,,,
457,私がモテてどうすんだ,http://www.tbs.co.jp/anime/watamote/,私がモテてどうすんだ 公式ホームページ｜TBSテレビ,tv_show,http://www.tbs.co.jp/watamote/,img/logo.jpg,TBSテレビ,TVアニメ『私がモテてどうすんだ』の公式サイト。TBS・BS-TBSにて2016年秋放送予定！
458,ガーリッシュ ナンバー,http://www.tbs.co.jp/anime/gn/,ガーリッシュ ナンバー 公式ホームページ｜TBSテレビ,tv_show,http://www.tbs.co.jp/gn/,images/logo.jpg,TBSテレビ,TVアニメ『ガーリッシュ ナンバー』の公式サイト。TBS・BS-TBSにて放送予定！
459,DRIFTERS(ドリフターズ),http://www.nbcuni.co.jp/rondorobe/anime/drifters/,,,,,,
460,Lostorage incited WIXOSS,http://lostorage-wixoss.com/,TVアニメ『Lostorage incited WIXOSS』公式サイト,website,http://lostorage-wixoss.com/,http://lostorage-wixoss.com/images/snsImg.jpg,TVアニメ『Lostorage incited WIXOSS』公式サイト,2016年10月、新たなselectorバトルの幕が上がる！
461,ハイキュー!! 烏野高校 VS 白鳥沢学園高校,http://www.j-haikyu.com/anime/,,,,,,
462,亜人 第2クール,http://www.ajin.net/,「亜人」公式サイト,website,,http://ajin.net/common/img/ogp.jpg,「亜人」公式サイト,「亜人」公式サイト 世界を震撼させた大ヒットコミック、禁断のアニメ化！全人類から狙われた高校生を巡る、緊迫のバトル・サバイヴ・サスペンス！
463,クラシカロイド,http://www9.nhk.or.jp/anime/classica/,NHKアニメワールド クラシカロイド,article,http://www.nhk.or.jp/anime/classica/,http://www.nhk.or.jp/anime/classica/images/sns.jpg,NHKアニメワールド クラシカロイド,偉人、天才、だが迷惑　壊せ日常！出せムジーク！！
464,ろんぐらいだぁす！,http://anime-longriders.com/,,,,,,
465,3月のライオン,http://www.nhk.or.jp/anime/3lion/,NHKアニメワールド 3月のライオン,tv_show,http://www.nhk.or.jp/anime/3lion/,http://www.nhk.or.jp/anime/3lion/common/images-r2/og_img2.jpg,NHKアニメワールド 3月のライオン,10月8日(土)午後11時よりＮＨＫ総合テレビにて放送開始！原作：羽海野チカ。これは、様々な人間が何かを取り戻していく、優しい物語。そして、戦いの物語。
466,Occultic;Nine-オカルティック・ナイン-,http://www.occultic-nine.com/,「Occultic；Nine -オカルティック・ナイン-」アニメ公式サイト,website,http://occultic-nine.com/,http://occultic-nine.com/ogp.jpg,,『STEINS;GATE』シリーズで知られる志倉千代丸と人気イラストレーターPakoのタッグによるライトノベル『Occultic;Nine-オカルティック・ナイン-』が2016年10月よりついにTVアニメ化！
467,戦国鳥獣戯画,http://www.kbc.co.jp/scg/,戦国鳥獣戯画｜KBC九州朝日放送,website,http://www.kbc.co.jp/scg/,http://www.kbc.co.jp/scg/images/sns_new.jpg,戦国鳥獣戯画｜KBC九州朝日放送,誰もが知る歴史的な局面、何気ない日常など、様々な場面の戦国武将たちを、動物に例えて描き、日本の歴史で遊んじゃうアニメーション番組、それが「戦国鳥獣戯画」です。
468,うどんの国の金色毛鞠,http://www.udonnokuni-anime.jp/,TVアニメ「うどんの国の金色毛鞠」公式サイト,tv_show,http://udonnokuni-anime.jp/,http://udonnokuni-anime.jp/images/OGP.jpg,,父親の死に際し生まれ故郷へ帰った主人公・俵 宗太（たわら そうた）が人間の子供の姿に化けたタヌキのポコと出会い、ポコや親友の中島、姉、初恋の同級生など周囲の人たちとの生活を通じて成長していく物語。日本テレビほかにて2016年TVアニメ化決定！
469,はがねオーケストラ,http://hagane-orchestra.jp/,,,,,,
470,舟を編む,http://www.funewoamu.com/,TVアニメ「舟を編む」 | 公式サイト,website,http://www.funewoamu.com/,http://www.funewoamu.com/img/common/ogp.png,,辞書は、言葉の海を渡る一艘の船。TVアニメ「舟を編む」2016年10月よりフジテレビ“ノイタミナ”ほかにて放送開始
471,雨色ココア-Rainy color Waikiki-,http://rainycocoa.jp/anime/,,,,,,
472,ルガーコード 1951,http://www.animax.co.jp/luger-code,ルガーコード1951 アニメ公式サイト | ANIMAX,website,http://www.animax.co.jp/luger-code,http://www.animax.co.jp/sites/jp.animax/files/lugercode_share_thumbnail.jpg,ルガーコード1951 アニメ公式サイト,アニメ「ルガーコード1951」の公式サイトです。
473,怪盗ジョーカー シーズン4,http://s.mxtv.jp/joker/,,tv_show,,http://s.mxtv.jp/joker/images/app_banner.jpg,TOKYO MX ＊ オンライン,ただ盗むだけじゃない！大胆不敵！神出鬼没！華麗に奇跡を起こす《ミラクルメイカー》！相棒のハチとともにお宝をもとめて全世界へ！
